Season,Team,Lge,GP,G,A,Pts,PIM,+/-,GP_playoffs,G_playoffs,A_playoffs,Pts_playoffs,PIM_playoffs,player_name,position,Min,GA,EN,SO,GAA,W,L,T,Svs,Pct
2014-15,Colorado Avalanche,NHL,65,3,10,13,16,-4,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-16,Colorado Avalanche,NHL,6,0,0,0,0,-2,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,Oshawa Generals,OHL,60,2,4,6,76,--,18,1,3,4,26,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,Oshawa Generals,OHL,48,6,13,19,126,--,5,0,5,5,18,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Oshawa Generals,OHL,37,7,15,22,77,14,15,0,3,3,26,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Oshawa Generals,OHL,3,0,2,2,12,1,3,0,0,0,13,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Syracuse Crunch,AHL,9,1,1,2,11,0,2,0,0,0,2,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Vancouver Canucks,NHL,6,0,0,0,0,0,2,0,0,0,2,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Kansas City Blades,IHL,75,5,20,25,99,-15,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Manitoba Moose,AHL,68,7,18,25,121,1,5,0,1,1,8,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Vancouver Canucks,NHL,11,0,0,0,6,1,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Manitoba Moose,AHL,7,0,1,1,4,3,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Vancouver Canucks,NHL,48,5,3,8,73,8,1,0,0,0,2,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Vancouver Canucks,NHL,74,2,5,7,94,-10,4,0,0,0,2,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Voskresensk Khimik,Russia,19,0,2,2,34,--,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Vancouver Canucks,NHL,77,7,10,17,115,4,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Florida Panthers,NHL,82,4,21,25,112,7,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Florida Panthers,NHL,73,2,14,16,67,5,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09,Florida Panthers,NHL,2,0,1,1,0,2,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10,Florida Panthers,NHL,74,4,9,13,99,-8,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11,Florida Panthers,NHL,53,4,8,12,63,-5,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11,Carolina Hurricanes,NHL,19,0,5,5,19,4,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,Carolina Hurricanes,NHL,82,1,13,14,76,-1,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-13,Anaheim Ducks,NHL,41,0,6,6,34,1,7,0,1,1,2,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,Anaheim Ducks,NHL,68,0,10,10,75,20,13,1,0,1,28,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-15,Anaheim Ducks,NHL,6,0,1,1,4,0,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-15,Norfolk Admirals,AHL,2,0,0,0,0,0,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-15,Montreal Canadiens,NHL,5,0,1,1,2,-2,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-15,Hamilton Bulldogs,AHL,35,1,5,6,24,-6,--,--,--,--,--,Bryan Allen,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Yaroslavl Torpedo,Russia,34,3,4,7,38,--,10,0,0,0,4,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Cincinnati Mighty Ducks,AHL,35,1,3,4,45,-6,--,--,--,--,--,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-00,Anaheim Mighty Ducks,NHL,31,1,1,2,26,0,--,--,--,--,--,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01,Anaheim Mighty Ducks,NHL,76,1,10,11,99,-1,--,--,--,--,--,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-02,Anaheim Mighty Ducks,NHL,74,0,3,3,60,-10,--,--,--,--,--,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03,Anaheim Mighty Ducks,NHL,80,2,6,8,76,-8,21,0,1,1,6,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-04,Anaheim Mighty Ducks,NHL,73,6,10,16,51,0,--,--,--,--,--,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-05,Voskresensk Khimik,Russia,50,7,14,21,92,--,--,--,--,--,--,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Anaheim Mighty Ducks,NHL,82,1,7,8,91,8,16,0,4,4,10,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Atlanta Thrashers,NHL,52,3,9,12,31,-5,--,--,--,--,--,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Nashville Predators,NHL,15,0,1,1,10,1,--,--,--,--,--,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,New Jersey Devils,NHL,69,2,5,7,50,-12,3,0,0,0,2,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09,Yaroslavl Lokomotiv,KHL,53,8,13,21,124,6,19,2,7,9,44,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10,Yaroslavl Lokomotiv,KHL,55,5,14,19,68,23,17,0,9,9,32,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11,St. Petersburg SKA,KHL,49,7,8,15,44,17,11,0,1,1,4,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,St. Petersburg SKA,KHL,54,3,4,7,89,13,,,,,,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-13,Yaroslavl Lokomotiv,KHL,52,2,4,6,36,13,6,0,0,0,2,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,Yaroslavl Lokomotiv,KHL,52,1,4,5,22,5,18,1,0,1,2,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-15,Yaroslavl Lokomotiv,KHL,43,0,3,3,16,0,1,0,0,0,0,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-18,Cherepovets Severstal,KHL,51,1,5,6,26,5,4,0,0,0,1,Vitaly Vishnevsky,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-96,Soo Greyhounds,OHL,62,11,15,26,52,--,4,0,0,0,0,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-97,London Knights,OHL,59,19,34,53,76,--,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997-98,London Knights,OHL,64,43,33,76,110,--,16,9,5,14,49,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,London Knights,OHL,23,15,18,33,41,3,25,10,12,22,42,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-99,Calgary Flames,NHL,20,0,1,1,4,0,--,--,--,--,--,Rico Fata,Right Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
